yearweek,week_dt,iso_year,iso_week,year,month,quarter
201216,2012-04-16,2012,16,2012,4,2
201217,2012-04-23,2012,17,2012,4,2
201218,2012-04-30,2012,18,2012,4,2
201219,2012-05-07,2012,19,2012,5,2
201220,2012-05-14,2012,20,2012,5,2
201221,2012-05-21,2012,21,2012,5,2
201222,2012-05-28,2012,22,2012,5,2
201223,2012-06-04,2012,23,2012,6,2
201224,2012-06-11,2012,24,2012,6,2
201225,2012-06-18,2012,25,2012,6,2
201226,2012-06-25,2012,26,2012,6,2
201227,2012-07-02,2012,27,2012,7,3
201228,2012-07-09,2012,28,2012,7,3
201229,2012-07-16,2012,29,2012,7,3
201230,2012-07-23,2012,30,2012,7,3
201231,2012-07-30,2012,31,2012,7,3
201232,2012-08-06,2012,32,2012,8,3
201233,2012-08-13,2012,33,2012,8,3
201234,2012-08-20,2012,34,2012,8,3
201235,2012-08-27,2012,35,2012,8,3
201236,2012-09-03,2012,36,2012,9,3
201237,2012-09-10,2012,37,2012,9,3
201238,2012-09-17,2012,38,2012,9,3
201239,2012-09-24,2012,39,2012,9,3
201240,2012-10-01,2012,40,2012,10,4
201241,2012-10-08,2012,41,2012,10,4
201242,2012-10-15,2012,42,2012,10,4
201243,2012-10-22,2012,43,2012,10,4
201244,2012-10-29,2012,44,2012,10,4
201245,2012-11-05,2012,45,2012,11,4
201246,2012-11-12,2012,46,2012,11,4
201247,2012-11-19,2012,47,2012,11,4
201248,2012-11-26,2012,48,2012,11,4
201249,2012-12-03,2012,49,2012,12,4
201250,2012-12-10,2012,50,2012,12,4
201251,2012-12-17,2012,51,2012,12,4
201252,2012-12-24,2012,52,2012,12,4
201301,2012-12-31,2013,1,2012,12,4
201302,2013-01-07,2013,2,2013,1,1
201303,2013-01-14,2013,3,2013,1,1
201304,2013-01-21,2013,4,2013,1,1
201305,2013-01-28,2013,5,2013,1,1
201306,2013-02-04,2013,6,2013,2,1
201307,2013-02-11,2013,7,2013,2,1
201308,2013-02-18,2013,8,2013,2,1
201309,2013-02-25,2013,9,2013,2,1
201310,2013-03-04,2013,10,2013,3,1
201311,2013-03-11,2013,11,2013,3,1
201312,2013-03-18,2013,12,2013,3,1
201313,2013-03-25,2013,13,2013,3,1
201314,2013-04-01,2013,14,2013,4,2
201315,2013-04-08,2013,15,2013,4,2
201316,2013-04-15,2013,16,2013,4,2
201317,2013-04-22,2013,17,2013,4,2
201318,2013-04-29,2013,18,2013,4,2
201319,2013-05-06,2013,19,2013,5,2
201320,2013-05-13,2013,20,2013,5,2
201321,2013-05-20,2013,21,2013,5,2
201322,2013-05-27,2013,22,2013,5,2
201323,2013-06-03,2013,23,2013,6,2
201324,2013-06-10,2013,24,2013,6,2
201325,2013-06-17,2013,25,2013,6,2
201326,2013-06-24,2013,26,2013,6,2
201327,2013-07-01,2013,27,2013,7,3
201328,2013-07-08,2013,28,2013,7,3
201329,2013-07-15,2013,29,2013,7,3
201330,2013-07-22,2013,30,2013,7,3
201331,2013-07-29,2013,31,2013,7,3
201332,2013-08-05,2013,32,2013,8,3
201333,2013-08-12,2013,33,2013,8,3
201334,2013-08-19,2013,34,2013,8,3
201335,2013-08-26,2013,35,2013,8,3
201336,2013-09-02,2013,36,2013,9,3
201337,2013-09-09,2013,37,2013,9,3
201338,2013-09-16,2013,38,2013,9,3
201339,2013-09-23,2013,39,2013,9,3
201340,2013-09-30,2013,40,2013,9,3
201341,2013-10-07,2013,41,2013,10,4
201342,2013-10-14,2013,42,2013,10,4
201343,2013-10-21,2013,43,2013,10,4
201344,2013-10-28,2013,44,2013,10,4
201345,2013-11-04,2013,45,2013,11,4
201346,2013-11-11,2013,46,2013,11,4
201347,2013-11-18,2013,47,2013,11,4
201348,2013-11-25,2013,48,2013,11,4
201349,2013-12-02,2013,49,2013,12,4
201350,2013-12-09,2013,50,2013,12,4
201351,2013-12-16,2013,51,2013,12,4
201352,2013-12-23,2013,52,2013,12,4
201401,2013-12-30,2014,1,2013,12,4
201402,2014-01-06,2014,2,2014,1,1
201403,2014-01-13,2014,3,2014,1,1
201404,2014-01-20,2014,4,2014,1,1
201405,2014-01-27,2014,5,2014,1,1
201406,2014-02-03,2014,6,2014,2,1
201407,2014-02-10,2014,7,2014,2,1
201408,2014-02-17,2014,8,2014,2,1
201409,2014-02-24,2014,9,2014,2,1
201410,2014-03-03,2014,10,2014,3,1
201411,2014-03-10,2014,11,2014,3,1
201412,2014-03-17,2014,12,2014,3,1
201413,2014-03-24,2014,13,2014,3,1
201414,2014-03-31,2014,14,2014,3,1
201415,2014-04-07,2014,15,2014,4,2
201416,2014-04-14,2014,16,2014,4,2
201417,2014-04-21,2014,17,2014,4,2
201418,2014-04-28,2014,18,2014,4,2
201419,2014-05-05,2014,19,2014,5,2
201420,2014-05-12,2014,20,2014,5,2
201421,2014-05-19,2014,21,2014,5,2
201422,2014-05-26,2014,22,2014,5,2
201423,2014-06-02,2014,23,2014,6,2
201424,2014-06-09,2014,24,2014,6,2
201425,2014-06-16,2014,25,2014,6,2
201426,2014-06-23,2014,26,2014,6,2
201427,2014-06-30,2014,27,2014,6,2
201428,2014-07-07,2014,28,2014,7,3
201429,2014-07-14,2014,29,2014,7,3
201430,2014-07-21,2014,30,2014,7,3
201431,2014-07-28,2014,31,2014,7,3
201432,2014-08-04,2014,32,2014,8,3
201433,2014-08-11,2014,33,2014,8,3
201434,2014-08-18,2014,34,2014,8,3
201435,2014-08-25,2014,35,2014,8,3
201436,2014-09-01,2014,36,2014,9,3
201437,2014-09-08,2014,37,2014,9,3
201438,2014-09-15,2014,38,2014,9,3
201439,2014-09-22,2014,39,2014,9,3
201440,2014-09-29,2014,40,2014,9,3
201441,2014-10-06,2014,41,2014,10,4
201442,2014-10-13,2014,42,2014,10,4
201443,2014-10-20,2014,43,2014,10,4
201444,2014-10-27,2014,44,2014,10,4
201445,2014-11-03,2014,45,2014,11,4
201446,2014-11-10,2014,46,2014,11,4
201447,2014-11-17,2014,47,2014,11,4
201448,2014-11-24,2014,48,2014,11,4
201449,2014-12-01,2014,49,2014,12,4
201450,2014-12-08,2014,50,2014,12,4
201451,2014-12-15,2014,51,2014,12,4
201452,2014-12-22,2014,52,2014,12,4
201501,2014-12-29,2015,1,2014,12,4
201502,2015-01-05,2015,2,2015,1,1
201503,2015-01-12,2015,3,2015,1,1
201504,2015-01-19,2015,4,2015,1,1
201505,2015-01-26,2015,5,2015,1,1
201506,2015-02-02,2015,6,2015,2,1
201507,2015-02-09,2015,7,2015,2,1
201508,2015-02-16,2015,8,2015,2,1
201509,2015-02-23,2015,9,2015,2,1
201510,2015-03-02,2015,10,2015,3,1
201511,2015-03-09,2015,11,2015,3,1
201512,2015-03-16,2015,12,2015,3,1
201513,2015-03-23,2015,13,2015,3,1
201514,2015-03-30,2015,14,2015,3,1
201515,2015-04-06,2015,15,2015,4,2
201516,2015-04-13,2015,16,2015,4,2
201517,2015-04-20,2015,17,2015,4,2
201518,2015-04-27,2015,18,2015,4,2
201519,2015-05-04,2015,19,2015,5,2
201520,2015-05-11,2015,20,2015,5,2
201521,2015-05-18,2015,21,2015,5,2
201522,2015-05-25,2015,22,2015,5,2
201523,2015-06-01,2015,23,2015,6,2
201524,2015-06-08,2015,24,2015,6,2
201525,2015-06-15,2015,25,2015,6,2
201526,2015-06-22,2015,26,2015,6,2
201527,2015-06-29,2015,27,2015,6,2
201528,2015-07-06,2015,28,2015,7,3
201529,2015-07-13,2015,29,2015,7,3
201530,2015-07-20,2015,30,2015,7,3
201531,2015-07-27,2015,31,2015,7,3
201532,2015-08-03,2015,32,2015,8,3
201533,2015-08-10,2015,33,2015,8,3
201534,2015-08-17,2015,34,2015,8,3
201535,2015-08-24,2015,35,2015,8,3
201536,2015-08-31,2015,36,2015,8,3
201537,2015-09-07,2015,37,2015,9,3
201538,2015-09-14,2015,38,2015,9,3
201539,2015-09-21,2015,39,2015,9,3
201540,2015-09-28,2015,40,2015,9,3
201541,2015-10-05,2015,41,2015,10,4
201542,2015-10-12,2015,42,2015,10,4
201543,2015-10-19,2015,43,2015,10,4
201544,2015-10-26,2015,44,2015,10,4
201545,2015-11-02,2015,45,2015,11,4
201546,2015-11-09,2015,46,2015,11,4
201547,2015-11-16,2015,47,2015,11,4
201548,2015-11-23,2015,48,2015,11,4
201549,2015-11-30,2015,49,2015,11,4
201550,2015-12-07,2015,50,2015,12,4
201551,2015-12-14,2015,51,2015,12,4
201552,2015-12-21,2015,52,2015,12,4
201553,2015-12-28,2015,53,2015,12,4
201601,2016-01-04,2016,1,2016,1,1
201602,2016-01-11,2016,2,2016,1,1
201603,2016-01-18,2016,3,2016,1,1
201604,2016-01-25,2016,4,2016,1,1
201605,2016-02-01,2016,5,2016,2,1
201606,2016-02-08,2016,6,2016,2,1
201607,2016-02-15,2016,7,2016,2,1
201608,2016-02-22,2016,8,2016,2,1
201609,2016-02-29,2016,9,2016,2,1
201610,2016-03-07,2016,10,2016,3,1
201611,2016-03-14,2016,11,2016,3,1
201612,2016-03-21,2016,12,2016,3,1
201613,2016-03-28,2016,13,2016,3,1
201614,2016-04-04,2016,14,2016,4,2
201615,2016-04-11,2016,15,2016,4,2
201616,2016-04-18,2016,16,2016,4,2
